graph,family,n_nodes,n_edges,graph_seed,graph_params,seed,init_seed,stress_seed,instance_id,feat_n,feat_m,feat_density,feat_deg_mean,feat_deg_std,feat_deg_max,feat_n_cc,feat_lcc_ratio,feat_avg_clustering,algo,overlap,edge_cv,stress,aspect,score
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,4,10804,10804,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,Adaptive-Eades,4.213851782639084,0.5960748237833872,0.0009422771484924595,0.18789802051404497,21.759471202665527
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,4,10804,10804,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,FR,14.771204763304016,0.5871882687524731,0.00023733628240288468,0.1308876524470383,74.50870337875254
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,4,10804,10804,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,KK,2.2911495932417565,0.13537808966069095,0.00018453371523340713,0.04152606375272952,11.611925994488885
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,5,10805,10805,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,Eades,1.2536658087386754,0.5810883905027231,0.005236815333708898,0.08921695105359544,6.89507327278964
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,5,10805,10805,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,Adaptive-Eades,7.470330380381606,0.5675966494853216,0.00039573706613799933,0.5720869000231429,38.205371148818145
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,5,10805,10805,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,FR,9.057954564738301,0.5453402957577032,0.00043776008377940137,0.0890033577195142,45.87970235032573
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,5,10805,10805,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,KK,2.9109322581769015,0.1454635622223813,0.00019432557208050294,0.07329465650363316,14.736811046473122
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,6,10806,10806,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,Eades,1.3255859064116546,0.7103127275406828,0.0054380767511933974,0.228653306492139,7.453656528195264
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,6,10806,10806,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,Adaptive-Eades,7.250174538763064,0.6354321095165267,0.00046167051848074376,0.2994911765810128,37.03614272572605
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,6,10806,10806,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,FR,13.819405823257135,0.5665435972947502,0.00030035871904608924,0.4901699215650815,69.90871774610677
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,6,10806,10806,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,KK,5.284811248381695,0.1355511729001208,0.0001348052156964668,0.28989493164650665,26.70458184167499
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,7,10807,10807,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,Eades,1.435230863831597,0.5509108603888712,0.0029081325972250545,0.29273657235887374,7.874015092245738
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,7,10807,10807,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,Adaptive-Eades,6.815478612145143,0.570036948364013,0.00042542171288231426,0.2568132071960136,34.77592169703032
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,7,10807,10807,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,FR,11.561644017669675,0.5565224048146106,0.00027512639478675114,0.2858369345806947,58.5077159857323
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,7,10807,10807,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,KK,5.535478999179779,0.14002877604447161,0.00011429977719751732,0.3017984830945538,27.968345873446083
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,8,10808,10808,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,Eades,1.7070824003060776,0.6419721816102274,0.0042857048765770015,0.15656962610623743,9.256526137169049
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,8,10808,10808,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,Adaptive-Eades,4.758066398102435,0.5379852634306234,0.0004510122748122467,0.0270199843033185,24.34191744854942
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,8,10808,10808,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,FR,9.699236736188817,0.4916728114385387,0.000498692525433275,0.6122371088949903,49.294074785335205
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,8,10808,10808,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,KK,5.3985700900649185,0.14022823203601842,0.00012689796182222855,0.3123866127399977,27.289297368322977
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,9,10809,10809,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,Eades,1.0906932225647616,0.6891181249894712,0.005074316647456142,0.2765090774173705,6.281853639851455
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,9,10809,10809,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,Adaptive-Eades,6.746573758700105,0.5335226543469207,0.0003468871154785553,0.2193201826536556,34.37612091659737
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,9,10809,10809,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,FR,11.41876635112456,0.5795122642348102,0.00038511485729256857,0.07053108786356525,57.708686586760855
tree_n150_rep1,tree,150,149,1527966637,random_labeled_tree,9,10809,10809,tree_n150_rep1|gseed=1527966637,150,149,0.013333333333333334,1.9866666666666666,0.9450690744890321,5.0,1,1.0,0.0,KK,5.099563615599176,0.13547232592910466,0.00010068535316483145,0.48317136227686686,25.87489622213405
er_n80_p003_rep0,er,75,101,1509470096,"n=80,p=0.03",0,10900,10900,er_n80_p003_rep0|gseed=1509470096,75,101,0.0363963963963964,2.6933333333333334,1.496425370303808,7.0,1,1.0,0.028444444444444442,Eades,0.00898785591927663,0.5076372310003895,0.006384191455919874,0.3661932562985512,0.7369499770372322
er_n80_p003_rep0,er,75,101,1509470096,"n=80,p=0.03",0,10900,10900,er_n80_p003_rep0|gseed=1509470096,75,101,0.0363963963963964,2.6933333333333334,1.496425370303808,7.0,1,1.0,0.028444444444444442,Adaptive-Eades,0.004698816259858712,0.4574079850879229,0.004597331690218832,0.12306599788992684,0.5433545316702236
er_n80_p003_rep0,er,75,101,1509470096,"n=80,p=0.03",0,10900,10900,er_n80_p003_rep0|gseed=1509470096,75,101,0.0363963963963964,2.6933333333333334,1.496425370303808,7.0,1,1.0,0.028444444444444442,FR,0.16209918783623484,0.30863595832066015,0.00417951951359151,0.14546871724984334,1.1927021600294743
er_n80_p003_rep0,er,75,101,1509470096,"n=80,p=0.03",0,10900,10900,er_n80_p003_rep0|gseed=1509470096,75,101,0.0363963963963964,2.6933333333333334,1.496425370303808,7.0,1,1.0,0.028444444444444442,KK,0.05741745132376221,0.21787033256001576,0.005150305308937154,0.026955408618869085,0.5194653545500487
er_n80_p003_rep0,er,75,101,1509470096,"n=80,p=0.03",1,10901,10901,er_n80_p003_rep0|gseed=1509470096,75,101,0.0363963963963964,2.6933333333333334,1.496425370303808,7.0,1,1.0,0.028444444444444442,Eades,0.0,0.506033797189941,0.00932631377426906,0.1302766932662401,0.5730374065779148
