graph,family,n_nodes,n_edges,graph_seed,graph_params,init_seed,stress_seed,instance_id,feat_n,feat_m,feat_density,feat_deg_mean,feat_deg_std,feat_deg_max,feat_n_cc,feat_lcc_ratio,feat_avg_clustering,score_Eades,score_Adaptive-Eades,score_FR,score_KK,best_algo
tree_n50_rep0,tree,50,49,1395401163,random_labeled_tree,10309,10309,tree_n50_rep0|gseed=1395401163,50,49,0.04,1.96,1.0384603988597736,5.0,1,1.0,0.0,0.4123473496155386,0.4922162304152929,2.870165441463368,0.17447137465170365,KK
tree_n50_rep1,tree,50,49,1395402110,random_labeled_tree,10400,10400,tree_n50_rep1|gseed=1395402110,50,49,0.04,1.96,0.8475848040166836,4.0,1,1.0,0.0,0.5051655840962355,0.7121428591509216,3.3096045326672585,0.35833840640920744,KK
tree_n50_rep1,tree,50,49,1395402110,random_labeled_tree,10401,10401,tree_n50_rep1|gseed=1395402110,50,49,0.04,1.96,0.8475848040166836,4.0,1,1.0,0.0,0.5125922781913699,1.5419066290502577,4.982173964553116,0.3768351981863019,KK
tree_n50_rep1,tree,50,49,1395402110,random_labeled_tree,10402,10402,tree_n50_rep1|gseed=1395402110,50,49,0.04,1.96,0.8475848040166836,4.0,1,1.0,0.0,0.30310112490074076,1.6980110547295195,7.639875634247125,0.13886189273725147,KK
tree_n50_rep1,tree,50,49,1395402110,random_labeled_tree,10403,10403,tree_n50_rep1|gseed=1395402110,50,49,0.04,1.96,0.8475848040166836,4.0,1,1.0,0.0,0.46377583818179047,2.4735524177539157,3.9006595779938755,0.19977345842068658,KK
tree_n50_rep1,tree,50,49,1395402110,random_labeled_tree,10404,10404,tree_n50_rep1|gseed=1395402110,50,49,0.04,1.96,0.8475848040166836,4.0,1,1.0,0.0,0.7521638518493361,1.9781286520241677,2.2940803540931634,0.09359820586258455,KK
tree_n50_rep1,tree,50,49,1395402110,random_labeled_tree,10405,10405,tree_n50_rep1|gseed=1395402110,50,49,0.04,1.96,0.8475848040166836,4.0,1,1.0,0.0,0.6925264794278013,1.7534170598256866,2.8313128305019286,0.41338479873274464,KK
tree_n50_rep1,tree,50,49,1395402110,random_labeled_tree,10406,10406,tree_n50_rep1|gseed=1395402110,50,49,0.04,1.96,0.8475848040166836,4.0,1,1.0,0.0,0.3421570806742976,2.3622351777237536,5.6982874204366984,0.22555183230364365,KK
tree_n50_rep1,tree,50,49,1395402110,random_labeled_tree,10407,10407,tree_n50_rep1|gseed=1395402110,50,49,0.04,1.96,0.8475848040166836,4.0,1,1.0,0.0,0.4168168550008936,1.8894641804530579,5.098047373060829,0.19769961763632,KK
tree_n50_rep1,tree,50,49,1395402110,random_labeled_tree,10408,10408,tree_n50_rep1|gseed=1395402110,50,49,0.04,1.96,0.8475848040166836,4.0,1,1.0,0.0,0.594797274230073,1.3679435058394156,3.5426746797961854,0.29679786695620686,KK
tree_n50_rep1,tree,50,49,1395402110,random_labeled_tree,10409,10409,tree_n50_rep1|gseed=1395402110,50,49,0.04,1.96,0.8475848040166836,4.0,1,1.0,0.0,0.3694686823215315,1.6442780146141014,3.734135916558925,0.21421779240544855,KK
tree_n100_rep0,tree,100,99,1810547948,random_labeled_tree,10500,10500,tree_n100_rep0|gseed=1810547948,100,99,0.02,1.98,0.9897474425326898,6.0,1,1.0,0.0,3.209576386481352,12.910955312344283,17.252398438837968,1.845102410998184,KK
tree_n100_rep0,tree,100,99,1810547948,random_labeled_tree,10501,10501,tree_n100_rep0|gseed=1810547948,100,99,0.02,1.98,0.9897474425326898,6.0,1,1.0,0.0,1.6185882313738327,13.622052440836871,19.063829010381742,3.135955082297715,Eades
tree_n100_rep0,tree,100,99,1810547948,random_labeled_tree,10502,10502,tree_n100_rep0|gseed=1810547948,100,99,0.02,1.98,0.9897474425326898,6.0,1,1.0,0.0,4.237435494505436,14.444910915038053,20.4159886551239,3.804484559637803,KK
tree_n100_rep0,tree,100,99,1810547948,random_labeled_tree,10503,10503,tree_n100_rep0|gseed=1810547948,100,99,0.02,1.98,0.9897474425326898,6.0,1,1.0,0.0,1.2725044069048823,15.377328813609536,29.6358627974009,3.867547119161277,Eades
tree_n100_rep0,tree,100,99,1810547948,random_labeled_tree,10504,10504,tree_n100_rep0|gseed=1810547948,100,99,0.02,1.98,0.9897474425326898,6.0,1,1.0,0.0,1.379887141385765,13.517674501829875,23.495662574382525,3.8714958141872557,Eades
tree_n100_rep0,tree,100,99,1810547948,random_labeled_tree,10505,10505,tree_n100_rep0|gseed=1810547948,100,99,0.02,1.98,0.9897474425326898,6.0,1,1.0,0.0,2.125859588659577,13.54116445299436,17.992574433521895,3.8505544571104924,Eades
tree_n100_rep0,tree,100,99,1810547948,random_labeled_tree,10506,10506,tree_n100_rep0|gseed=1810547948,100,99,0.02,1.98,0.9897474425326898,6.0,1,1.0,0.0,1.3906584417779357,16.80362093766504,27.67416757761495,3.504587402952422,Eades
tree_n100_rep0,tree,100,99,1810547948,random_labeled_tree,10507,10507,tree_n100_rep0|gseed=1810547948,100,99,0.02,1.98,0.9897474425326898,6.0,1,1.0,0.0,0.7139379378778865,14.282989908717761,24.19739315302498,4.050883668115921,Eades
tree_n100_rep0,tree,100,99,1810547948,random_labeled_tree,10508,10508,tree_n100_rep0|gseed=1810547948,100,99,0.02,1.98,0.9897474425326898,6.0,1,1.0,0.0,1.890847459173151,11.974051298343797,19.30043196456049,5.565317312747686,Eades
tree_n100_rep0,tree,100,99,1810547948,random_labeled_tree,10509,10509,tree_n100_rep0|gseed=1810547948,100,99,0.02,1.98,0.9897474425326898,6.0,1,1.0,0.0,1.0275720903480958,12.693488453138068,24.857640064387507,5.3986068091058845,Eades
tree_n100_rep1,tree,100,99,1810548895,random_labeled_tree,10600,10600,tree_n100_rep1|gseed=1810548895,100,99,0.02,1.98,1.009752444909147,5.0,1,1.0,0.0,1.6528345564866016,11.212634960735326,31.57611094086826,3.69667514051299,Eades
tree_n100_rep1,tree,100,99,1810548895,random_labeled_tree,10601,10601,tree_n100_rep1|gseed=1810548895,100,99,0.02,1.98,1.009752444909147,5.0,1,1.0,0.0,3.3554406536287154,14.396672839569398,18.622682251082644,2.7770261446203857,KK
tree_n100_rep1,tree,100,99,1810548895,random_labeled_tree,10602,10602,tree_n100_rep1|gseed=1810548895,100,99,0.02,1.98,1.009752444909147,5.0,1,1.0,0.0,1.5063503921268582,11.357416030375129,27.423518528200024,3.850564731696057,Eades
tree_n100_rep1,tree,100,99,1810548895,random_labeled_tree,10603,10603,tree_n100_rep1|gseed=1810548895,100,99,0.02,1.98,1.009752444909147,5.0,1,1.0,0.0,1.754908484259144,10.863926825932905,14.242854025543775,4.1934335636441995,Eades
tree_n100_rep1,tree,100,99,1810548895,random_labeled_tree,10604,10604,tree_n100_rep1|gseed=1810548895,100,99,0.02,1.98,1.009752444909147,5.0,1,1.0,0.0,2.116814152552229,11.009069629305888,32.41389090883055,1.627906577868384,KK
tree_n100_rep1,tree,100,99,1810548895,random_labeled_tree,10605,10605,tree_n100_rep1|gseed=1810548895,100,99,0.02,1.98,1.009752444909147,5.0,1,1.0,0.0,3.238429593596282,14.735526564559187,18.315524161757608,3.5102584154544516,Eades
tree_n100_rep1,tree,100,99,1810548895,random_labeled_tree,10606,10606,tree_n100_rep1|gseed=1810548895,100,99,0.02,1.98,1.009752444909147,5.0,1,1.0,0.0,2.3755502023403503,17.583959263371558,25.39721119048418,3.598831791757736,Eades
tree_n100_rep1,tree,100,99,1810548895,random_labeled_tree,10607,10607,tree_n100_rep1|gseed=1810548895,100,99,0.02,1.98,1.009752444909147,5.0,1,1.0,0.0,3.070597479788114,11.392403891237347,29.138570314901088,2.84444545304188,KK
tree_n100_rep1,tree,100,99,1810548895,random_labeled_tree,10608,10608,tree_n100_rep1|gseed=1810548895,100,99,0.02,1.98,1.009752444909147,5.0,1,1.0,0.0,3.0569305926447936,16.0916577066141,16.712348055432862,2.156778947799855,KK
tree_n100_rep1,tree,100,99,1810548895,random_labeled_tree,10609,10609,tree_n100_rep1|gseed=1810548895,100,99,0.02,1.98,1.009752444909147,5.0,1,1.0,0.0,1.4418464556855026,10.87858380360518,28.943953048907492,3.5132753655675955,Eades
tree_n150_rep0,tree,150,149,1527967584,random_labeled_tree,10700,10700,tree_n150_rep0|gseed=1527967584,150,149,0.013333333333333334,1.9866666666666666,0.9659997699562644,5.0,1,1.0,0.0,8.280826819479463,33.354327269989284,49.47116445803501,31.860375125468252,Eades
tree_n150_rep0,tree,150,149,1527967584,random_labeled_tree,10701,10701,tree_n150_rep0|gseed=1527967584,150,149,0.013333333333333334,1.9866666666666666,0.9659997699562644,5.0,1,1.0,0.0,6.088776731898579,18.99978225311215,49.353236608143746,26.616362352542463,Eades
tree_n150_rep0,tree,150,149,1527967584,random_labeled_tree,10702,10702,tree_n150_rep0|gseed=1527967584,150,149,0.013333333333333334,1.9866666666666666,0.9659997699562644,5.0,1,1.0,0.0,10.724970945419148,44.91511849316771,39.19256478851991,24.11193327868735,Eades
tree_n150_rep0,tree,150,149,1527967584,random_labeled_tree,10703,10703,tree_n150_rep0|gseed=1527967584,150,149,0.013333333333333334,1.9866666666666666,0.9659997699562644,5.0,1,1.0,0.0,12.775103557078806,35.04257669093184,42.810219827566556,31.171328264089595,Eades
tree_n150_rep0,tree,150,149,1527967584,random_labeled_tree,10704,10704,tree_n150_rep0|gseed=1527967584,150,149,0.013333333333333334,1.9866666666666666,0.9659997699562644,5.0,1,1.0,0.0,3.863417541842548,24.470435061861856,34.377860090436585,35.05051516348222,Eades
tree_n150_rep0,tree,150,149,1527967584,random_labeled_tree,10705,10705,tree_n150_rep0|gseed=1527967584,150,149,0.013333333333333334,1.9866666666666666,0.9659997699562644,5.0,1,1.0,0.0,5.338444290880818,27.96028988922148,48.8335767070461,32.430800792630755,Eades
tree_n150_rep0,tree,150,149,1527967584,random_labeled_tree,10706,10706,tree_n150_rep0|gseed=1527967584,150,149,0.013333333333333334,1.9866666666666666,0.9659997699562644,5.0,1,1.0,0.0,4.067393771954526,41.67195482927385,58.714486391100735,30.563928053669326,Eades
